"gene","n_folds_selected","signature_size"
"ABCF1",5,250
"ARHGAP44",5,250
"ATF3",5,250
"ATP5ME",5,250
"BCL2L2",5,250
"CARMN",5,250
"CERS5",5,250
"CRNKL1",5,250
"CYSLTR2",5,250
"DAXX",5,250
"DCAF8",5,250
"DEPP1",5,250
"EBLN2",5,250
"GABRE",5,250
"H4C5",5,250
"HTATSF1",5,250
"LRRC40",5,250
"MEG3",5,250
"MEG8",5,250
"MIR3609",5,250
"NDUFV2",5,250
"NELFE",5,250
"PRPF31",5,250
"PRPF6",5,250
"RN7SKP255",5,250
"RN7SKP48",5,250
"RN7SL600P",5,250
"RNU6ATAC",5,250
"RNY4",5,250
"SNORA37",5,250
"SNORA38B",5,250
"SNORA53",5,250
"SNORA74A",5,250
"SNORD3C",5,250
"SRSF1",5,250
"TXNDC9",5,250
"VMP1",5,250
"ZFP36",5,250
"ZNF100",5,250
"AURKAIP1",4,250
"BTBD19",4,250
"CDK4",4,250
"CHMP2A",4,250
"COL13A1",4,250
"COPS3",4,250
"COX5B",4,250
"CUEDC2",4,250
"DDX49",4,250
"GGT5",4,250
"H2AC12",4,250
"H2BC12",4,250
"HNRNPM",4,250
"HNRNPUL1",4,250
"IL1B",4,250
"ILF2",4,250
"ITGA8",4,250
"ITM2B",4,250
"KEL",4,250
"LINC02614",4,250
"MAPK10",4,250
"MAPKAPK5-AS1",4,250
"MIR3680-1",4,250
"MZT2B",4,250
"NCL",4,250
"NOSTRIN",4,250
"NPTN-IT1",4,250
"PEMT",4,250
"POC1B",4,250
"PRKCSH",4,250
"PRPF8",4,250
"PSMA7",4,250
"PSMD8",4,250
"RIPOR3",4,250
"RN7SKP79",4,250
"RN7SL473P",4,250
"RN7SL648P",4,250
"RNA5S9",4,250
"RNF138",4,250
"RNY3",4,250
"SART1",4,250
"SDHAF1",4,250
"SIK1B",4,250
"SLC7A11",4,250
"SNAPC3",4,250
"SNORA49",4,250
"SNORA73B",4,250
"SNORD15B",4,250
"SNRNP200",4,250
"SOX4",4,250
"SPDYA",4,250
"TBCB",4,250
"TM9SF2",4,250
"TTC39B",4,250
"WSB1",4,250
"XAB2",4,250
"AACS",3,250
"ADAMTSL4-AS1",3,250
"ADAMTSL4-AS2",3,250
"ADGRF5",3,250
"AIP",3,250
"APMAP",3,250
"ARHGEF5",3,250
"CALM3",3,250
"CATSPERE",3,250
"CEP72",3,250
"CEP89",3,250
"CNPY3",3,250
"COX7B",3,250
"CTNNBL1",3,250
"CYP1B1-AS1",3,250
"DGCR11",3,250
"ECHS1",3,250
"EGFL7",3,250
"EXOSC5",3,250
"FAM222B",3,250
"FBL",3,250
"FGL2",3,250
"H2BC11",3,250
"H2BC13",3,250
"H4C2",3,250
"H4C3",3,250
"HRAS",3,250
"HSPE1P26",3,250
"IL1RN",3,250
"INE1",3,250
"KANSL1",3,250
"LMLN",3,250
"LMNB2",3,250
"MALAT1",3,250
"MEX3B",3,250
"MRVI1",3,250
"MT-TV",3,250
"NEBL",3,250
"NFKBIZ",3,250
"NOL11",3,250
"PCBP2",3,250
"PDHB",3,250
"PEPD",3,250
"POLR1C",3,250
"PPP1CA",3,250
"RN7SKP80",3,250
"RN7SL128P",3,250
"RNVU1-28",3,250
"RPS19",3,250
"RRP9",3,250
"SAT2",3,250
"SCG2",3,250
"SNORA13",3,250
"SNORA74B",3,250
"SNORA80D",3,250
"SNORD3A",3,250
"SNX4",3,250
"SPNS2",3,250
"STAG3L5P",3,250
"TFPT",3,250
"VPS72",3,250
"AAMP",2,250
"ACAD11",2,250
"ARHGEF4",2,250
"ASTN2",2,250
"B4GAT1",2,250
"BHLHE40",2,250
"C1GALT1C1",2,250
"CADPS",2,250
"CCDC138",2,250
"CCDC144CP",2,250
"CCT2",2,250
"CCT7",2,250
"CIAO2B",2,250
"COMMD8",2,250
"CSMD2",2,250
"CUTA",2,250
"DDX39A",2,250
"EEF1A1P19",2,250
"EEF1A1P22",2,250
"EIF3K",2,250
"EIF4A1P10",2,250
"EMCN",2,250
"FAM117B",2,250
"FAM214B",2,250
"FAM219A",2,250
"FOS",2,250
"FRMD4B",2,250
"FTSJ3",2,250
"GCNT1P3",2,250
"GGH",2,250
"GIPR",2,250
"H19",2,250
"H2AC21",2,250
"H2BC4",2,250
"HOXA10",2,250
"HSD17B10",2,250
"HSPA5",2,250
"IDH2",2,250
"IL33",2,250
"ING4",2,250
"KIF5C",2,250
"KLHDC3",2,250
"LEMD3",2,250
"MED12L",2,250
"MED30",2,250
"MMUT",2,250
"MPZL2",2,250
"MRPS26",2,250
"MSH6",2,250
"MSTO2P",2,250
"MTND4P14",2,250
"MUC1",2,250
"NADK2",2,250
"NARF-IT1",2,250
"NDUFB11",2,250
"NDUFB7",2,250
"NDUFC2",2,250
"NOMO2",2,250
"NUMB",2,250
"OS9",2,250
"PCNA",2,250
"PDIA6",2,250
"PIH1D1",2,250
"PIMREG",2,250
"PJA1",2,250
"PLXDC1",2,250
"POLR2I",2,250
"PSMD4",2,250
"PSMD7",2,250
"PTGS2",2,250
"PTMS",2,250
"RBM42",2,250
"RBM8A",2,250
"RGS16",2,250
"RHOA-IT1",2,250
"RN7SKP203",2,250
"RN7SKP230",2,250
"RN7SL517P",2,250
"RN7SL558P",2,250
"RN7SL752P",2,250
"RNASEH2A",2,250
"RNU4-1",2,250
"RNU4-2",2,250
"RNU5A-1",2,250
"RPL21P123",2,250
"RPS15AP6",2,250
"RPS5",2,250
"RUVBL2",2,250
"SCHIP1",2,250
"SLC9A3",2,250
"SNORA22",2,250
"SNORA38",2,250
"SNORD67",2,250
"SNRPD2",2,250
"SRPX2",2,250
"SRSF2",2,250
"STX16",2,250
"SYTL2",2,250
"SYTL4",2,250
"TAF11",2,250
"TCIM",2,250
"TGFB3",2,250
"TK1",2,250
"TNK2",2,250
"TRAM1",2,250
"TRIM28",2,250
"TTBK2",2,250
"TUFM",2,250
"UBB",2,250
"UBE2G1",2,250
"UBQLN2",2,250
"URI1",2,250
"USP5",2,250
"ZNF22",2,250
"ZNF32",2,250
"ZNF410",2,250
"ABCA13",1,250
"ABCB8",1,250
"ACADM",1,250
"ADRM1",1,250
"AFF1",1,250
"AGK",1,250
"AGTPBP1",1,250
"ALDH1A2",1,250
"ALYREF",1,250
"AMFR",1,250
"AOC3",1,250
"APOLD1",1,250
"AQP1",1,250
"ATP5F1A",1,250
"ATP5F1E",1,250
"ATP6AP2",1,250
"ATP8A2",1,250
"ATRN",1,250
"ATXN7L1",1,250
"BAIAP2L1",1,250
"BANF1",1,250
"BBOF1",1,250
"BBS5",1,250
"BCCIP",1,250
"BCL6",1,250
"BCL7C",1,250
"BCO2",1,250
"BCOR",1,250
"BECN1",1,250
"BIN3",1,250
"BLM",1,250
"BLOC1S4",1,250
"BLVRA",1,250
"BMS1",1,250
"BRIP1",1,250
"BRMS1",1,250
"C14orf93",1,250
"C1QBP",1,250
"C8orf58",1,250
"C9orf78",1,250
"CALR",1,250
"CAPNS1",1,250
"CCDC146",1,250
"CCDC82",1,250
"CCDC84",1,250
"CD69",1,250
"CDC5L",1,250
"CDH23",1,250
"CDH6",1,250
"CDIP1",1,250
"CDK11B",1,250
"CDK5RAP3",1,250
"CDRT4",1,250
"CENPP",1,250
"CEP131",1,250
"CFAP298",1,250
"CKAP5",1,250
"CKS1B",1,250
"COQ6",1,250
"COX4I1",1,250
"CPVL",1,250
"CPXM1",1,250
"CSF3R",1,250
"CSPG4P10",1,250
"CSTF2T",1,250
"CWC15",1,250
"CXCL8",1,250
"DBH-AS1",1,250
"DCAF1",1,250
"DCAF6",1,250
"DDOST",1,250
"DDRGK1",1,250
"DDX41",1,250
"DIPK2B",1,250
"DLEC1",1,250
"DLG2",1,250
"DLGAP1-AS2",1,250
"DLL4",1,250
"DMRTA1",1,250
"DMTF1",1,250
"DNAJC7",1,250
"DOCK3",1,250
"DPP3",1,250
"DPYSL4",1,250
"DSN1",1,250
"DTX2P1-UPK3BP1-PMS2P11",1,250
"DUS3L",1,250
"DUSP1",1,250
"EAPP",1,250
"EBNA1BP2",1,250
"ECHDC3",1,250
"EDC4",1,250
"EEF1A1P9",1,250
"EEF1E1",1,250
"EGR1",1,250
"EGR3",1,250
"ERG",1,250
"ERGIC3",1,250
"ESAM",1,250
"ESF1",1,250
"F3",1,250
"F5",1,250
"FAM160A2",1,250
"FAM227B",1,250
"FAM32A",1,250
"FILIP1",1,250
"FKBP8",1,250
"FLAD1",1,250
"FOSB",1,250
"FOXP1-IT1",1,250
"FSTL3",1,250
"FTSJ1",1,250
"GAD1",1,250
"GADD45GIP1",1,250
"GALK1",1,250
"GAS2L1",1,250
"GEM",1,250
"GEMIN4",1,250
"GEMIN5",1,250
"GJB2",1,250
"GNAS",1,250
"GPN3",1,250
"GREB1L",1,250
"GRWD1",1,250
"GVQW3",1,250
"H2AC16",1,250
"H2AC6",1,250
"H2BC17",1,250
"H2BC20P",1,250
"H3C1",1,250
"HAUS3",1,250
"HDGFL2",1,250
"HERC2P4",1,250
"HMGB2",1,250
"HNRNPA0",1,250
"HSD17B1",1,250
"HSP90AB1",1,250
"HSP90AB3P",1,250
"HSPA2",1,250
"HYAL1",1,250
"IDH3B",1,250
"IFRD2",1,250
"IGF2",1,250
"IGFN1",1,250
"IGHV3-21",1,250
"IGLV1-51",1,250
"INHBB",1,250
"INO80E",1,250
"INPP5K",1,250
"IRX6",1,250
"JUNB",1,250
"KARS1",1,250
"KAT14",1,250
"KLC1",1,250
"KLHDC2",1,250
"KLHL7",1,250
"LAMP3",1,250
"LAMTOR1",1,250
"LCAT",1,250
"LCORL",1,250
"LIMA1",1,250
"LIMK2",1,250
"LINC00598",1,250
"LMAN2",1,250
"LPP",1,250
"LRBA",1,250
"LRP3",1,250
"LSM2",1,250
"LUC7L2",1,250
"LUCAT1",1,250
"MAF1",1,250
"MAGED2",1,250
"MAN2B1",1,250
"MAPK4",1,250
"MAPRE1",1,250
"MAST4",1,250
"MAT2B",1,250
"MAZ",1,250
"MCL1",1,250
"MCM3",1,250
"MCM6",1,250
"MCM7",1,250
"MCMBP",1,250
"MED15",1,250
"METAP2",1,250
"METTL1",1,250
"MFSD4B",1,250
"MIRLET7BHG",1,250
"MRGBP",1,250
"MRPL28",1,250
"MRPS12",1,250
"MRTFB",1,250
"MT1E",1,250
"MTCO1P11",1,250
"MTCO2P11",1,250
"MTND1P23",1,250
"MTUS1",1,250
"MYO15A",1,250
"NALCN",1,250
"NBEAL1",1,250
"NDUFAB1",1,250
"NDUFB9",1,250
"NDUFS8",1,250
"NDUFV1",1,250
"NEB",1,250
"NFKBID",1,250
"NINL",1,250
"NMT2",1,250
"NOB1",1,250
"NOP14",1,250
"NOP56",1,250
"NOTCH4",1,250
"NOVA2",1,250
"NPNT",1,250
"NPTXR",1,250
"NR2F6",1,250
"NR4A1",1,250
"NSMCE1",1,250
"NT5DC2",1,250
"NT5DC3",1,250
"NUP160",1,250
"NXT1",1,250
"OBI1",1,250
"OLFML1",1,250
"PABPC1P3",1,250
"PABPN1",1,250
"PBDC1",1,250
"PCDH12",1,250
"PCGF5",1,250
"PCIF1",1,250
"PDK4",1,250
"PELP1",1,250
"PFKFB3",1,250
"PHYKPL",1,250
"PIBF1",1,250
"PKHD1",1,250
"PKN1",1,250
"PLA2G4A",1,250
"PLD3",1,250
"PLK1",1,250
"POLD2",1,250
"POLE3",1,250
"PPL",1,250
"PPM1G",1,250
"PPP2R5D",1,250
"PQBP1",1,250
"PRDM11",1,250
"PRPF19",1,250
"PRPF4",1,250
"PSMB4",1,250
"PSMF1",1,250
"PTGES2",1,250
"PTGR2",1,250
"PTPA",1,250
"PTPRS",1,250
"PUF60",1,250
"QARS1",1,250
"RAB2A",1,250
"RAB5IF",1,250
"RAC3",1,250
"RAP2A",1,250
"RASEF",1,250
"RASGRF2",1,250
"RBM15B",1,250
"RBM26",1,250
"RECQL4",1,250
"RELN",1,250
"RGP1",1,250
"RMND5B",1,250
"RN7SL329P",1,250
"RNU5B-1",1,250
"RNU6-1016P",1,250
"RNVU1-2",1,250
"RNY1",1,250
"ROMO1",1,250
"RPA3",1,250
"RPL10P9",1,250
"RPL18",1,250
"RPN2",1,250
"RPS15AP29",1,250
"RPS20P22",1,250
"RRAGA",1,250
"RREB1",1,250
"RTL10",1,250
"RUSC2",1,250
"RXRG",1,250
"RYR1",1,250
"RYR3",1,250
"S100A9",1,250
"SACS",1,250
"SCAND1",1,250
"SCNM1",1,250
"SCYL1",1,250
"SEC23B",1,250
"SEMA3D",1,250
"SEPHS1",1,250
"SEZ6L2",1,250
"SF3B2",1,250
"SF3B5",1,250
"SGPP1",1,250
"SH3TC2-DT",1,250
"SLC23A3",1,250
"SLC25A11",1,250
"SLC6A1",1,250
"SMARCB1",1,250
"SMARCC1",1,250
"SMC1A",1,250
"SMC2",1,250
"SMIM26",1,250
"SNHG11",1,250
"SNORA12",1,250
"SNORA54",1,250
"SNORA5C",1,250
"SNORA60",1,250
"SNORA65",1,250
"SNORA74D",1,250
"SNRNP25",1,250
"SNRPB2",1,250
"SNRPC",1,250
"SNRPE",1,250
"SOD3",1,250
"SORCS2",1,250
"SP1",1,250
"SPCS1",1,250
"SSRP1",1,250
"ST7",1,250
"STARD5",1,250
"STEAP2",1,250
"STK36",1,250
"STMN3",1,250
"STRAP",1,250
"STUM",1,250
"SUPT7L",1,250
"SURF6",1,250
"TAFA5",1,250
"TBX19",1,250
"TCEAL1",1,250
"TDO2",1,250
"TENT4B",1,250
"TGS1",1,250
"THAP11",1,250
"THAP12",1,250
"THBS4",1,250
"THOP1",1,250
"TIAF1",1,250
"TIE1",1,250
"TIMM10",1,250
"TIMM21",1,250
"TINAGL1",1,250
"TMEM109",1,250
"TMEM199",1,250
"TMEM223",1,250
"TMTC4",1,250
"TNFRSF25",1,250
"TNS3",1,250
"TOP2B",1,250
"TOX4",1,250
"TP53",1,250
"TPM1",1,250
"TRAP1",1,250
"TREM1",1,250
"TRMT6",1,250
"TSEN34",1,250
"TSFM",1,250
"TTC31",1,250
"TTC33",1,250
"TTLL3",1,250
"TTN",1,250
"TUBB",1,250
"TXN",1,250
"TXNDC17",1,250
"TXNRD2",1,250
"U2AF2",1,250
"UBA2",1,250
"UBE2D1",1,250
"UBE2H",1,250
"UBE2V1",1,250
"UGGT2",1,250
"UNC13B",1,250
"UPP1",1,250
"UQCRC1",1,250
"USP39",1,250
"VPS16",1,250
"VRK1",1,250
"VSIG10",1,250
"WAKMAR2",1,250
"WASH5P",1,250
"WIPI2",1,250
"WNT2B",1,250
"WRAP53",1,250
"ZBED5",1,250
"ZDHHC21",1,250
"ZFHX2",1,250
"ZFPM2",1,250
"ZMYM1",1,250
"ZMYND19",1,250
"ZNF124",1,250
"ZNF253",1,250
"ZNF397",1,250
"ZNF430",1,250
"ZNF431",1,250
"ZNF432",1,250
"ZNF526",1,250
"ZNF66",1,250
"ZNF662",1,250
"ZNF675",1,250
"ZNF692",1,250
"ZNF721",1,250
"ZNF724",1,250
"ZNF738",1,250
"ZNF845",1,250
"ZNF850",1,250
"ZNF862",1,250
"ZNF91",1,250
"ZRSR2",1,250
"ZWINT",1,250
